ID,Descrição,Pré - condição,Etapas,Resultado esperado,Status
1,O menu suspenso do campo de busca deve exibir os termos mais buscados pelos usuários,Abrir a tela inicial do site da Petz ,Clicar na caixa de busca,Deve aparecer alguns termos mais buscados no menu suspenso,Aprovado
2,O campo de busca não deve aceitar menos de 2 caracteres,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""B"" e apertar enter","Deve aparecer um alerta com a mensagem ""Digite pelo menos 2 caracteres""",Aprovado
3,O campo de busca deve mostrar uma página de resultado não encontrado quando o usuário procurar por produtos não identificados,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""Bolinhaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"" e apertar enter",O usuario deve ser encaminhado para pagina com a mensagem de resultado não encontrado,Aprovado
4,O campo de busca deve exibir uma pagina de produtos aleatórios quando o usuário buscar por um produto identificado porém não vendido no site da Petz,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""Caderno"" e apertar enter",O usuario deve ser encaminhado para pagina com produtos relacionados ou aleatórios ,Aprovado
5,O campo de busca deve exibir uma pagina de produtos selecionados quando o usuário buscar por um produto especifico e identificado,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""Bolinha"" e apertar enter",O usuario deve ser encaminhado para pagina com bolinhas para pets,Aprovado
6,O menu suspenso do campo de busca deve exibir um histórico de buscas do usuário,"Fazer login no site da Petz, clicar na caixa de busca, buscar por algum termo",Clicar na caixa de busca,"Deve aperecer as ultimas pesquisas menu suspenso do campo de busca: ""Caderno"", ""Bolinha""...",Aprovado
7,O menu suspenso do campo de busca deve permitir apagar a busca de itens do histórico ,"Fazer login no site da Petz, clicar na caixa de busca, buscar por algum termo","Clicar na caixa de busca, clicar no x do item ""Bolinha""","O item ""Bolinha"" deve sumir do histórico de buscas",Aprovado
8,O menu suspenso do campo de busca deve fornecer uma lista de produtos sugeridos enquanto o usuário digita alguma palavra,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""Bol""",Deve aparecer produtos no menus suspenso de busca,Aprovado
9,O campo de busca deve encaminhar o usuário direto para a tela do produto caso o mesmo tenha escolhido um dos produtos sugeridos,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""Bol"" e clicar em um dos produtos sugeridos no menu suspenso",Deve abrir a pagina do produto escolhido,Aprovado
10,O sistema de busca deve ser capaz de sugerir palavras de buscas baseados em termos parcialmente incompletos,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""Boli""",O menu suspenso exibe sugestões como “bolinha”,Aprovado
11,O campo de busca deve ignorar caracteres especiais e interpretar o termo válido,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""B@linha"" e apertar enter","O resultado deve ser o mesmo de quando pesquisado por ""bolinha""",Aprovado
12,O campo de busca deve ser flexivel com o uso de acentos,Abrir a tela inicial do site da Petz e clicar na caixa de busca,"Preencher o campo com ""racao"" e apertar enter","O usuário deve ser encaminhado para a pagina com produtos de ""ração""",Aprovado
