ID,Descrição,Pré - condição,Etapas,Resultado esperado,Resultado real,Status
1,"O campo ""E-mail ou CPF/CNPJ"" deve aceitar um email, CPF ou CNPJ cadastrado ",Abrir a tela de login do site da Petz,"Preencher o campo de login com ""exemploqa@gmail.com""",O campo fica sem destaque em vermelho e sem mensagem de erro,O campo fica sem destaque em vermelho e sem mensagem de erro,Aprovado
2,"O campo ""E-mail ou CPF/CNPJ"" não deve aceitar um email inválido",Abrir a tela de login do site da Petz,"Preencher o campo de login com ""exemplo@gmail""","O campo fica destacado em vermelho e deve aparecer a mensagem de erro ""Insira um email válido""","O campo fica destacado em vermelho e aparece a mensagem ""Insira um email válido""",Aprovado
3,"O campo ""E-mail ou CPF/CNPJ"" não deve aceitar um CPF inválido",Abrir a tela de login do site da Petz,"Preencher o campo de login com ""123.456.789-00""","O campo fica destacado em vermelho e deve aparecer a mensagem de erro ""CPF inválido""",O campo fica sem destaque em vermelho e sem mensagem de erro ao digitar CPF invalido,Reprovado
4,"O campo ""E-mail ou CPF/CNPJ"" não deve aceitar um CNPJ inválido",Abrir a tela de login do site da Petz,"Preencher o campo de login com ""00.000.000/0000-00""","O campo fica destacado em vermelho e deve aparecer a mensagem de erro ""CNPJ inválido""",O campo fica sem destaque em vermelho e sem mensagem de erro ,Reprovado
5,"Deve ser aceito email, CPF ou CNPJ cadastrado + senha correta",Abrir a tela de login do site da Petz,"Preencher o campo de login com ""exemploqa@gmail.com"" e o campo senha com ""ExemploSenha000""",O usuário deve ser direcionado para a tela inicial logada,O usuário é direcionado para a tela inicial logada,Aprovado
6,"Não deve ser aceito email, CPF ou CNPJ cadastrado + senha incorreta",Abrir a tela de login do site da Petz,"Preencher o campo de login com ""exemploqa@gmail.com"" e o campo senha com ""ExemploSenha""","Os dois campos ficam destacados em vermelho e aparece a mensagem de erro ""Dados incorretos!""","Os campos ficam destacados em vermelho e aparece a mensagem ""Dados incorretos!""",Aprovado
7,"Não deve ser aceito o campo ""E-mail ou CPF/CNPJ"" vazio",Abrir a tela de login do site da Petz,"Não preencher o campo de login e preencher o campo senha com ""ExemploSenha000""","O campo fica destacado em vermelho e deve aparecer a mensagem de erro ""Campo obrigatório""","O campo fica destacado em vermelho e aparece a mensagem ""Campo obrigatório""",Aprovado
8,"Não deve ser aceito o campo ""Senha"" vazio",Abrir a tela de login do site da Petz,"Preencher o campo de login com ""exemploqa@gmail.com"" e não preencher o campo de senha","O campo fica destacado em vermelho e deve aparecer a mensagem de erro ""Campo obrigatório""","O campo fica destacado em vermelho e aparece a mensagem ""Campo obrigatório""",Aprovado
9,"Na opção ""Esqueci a senha"" deve ser aceito CPF ou CNPJ válido para a recuperação da senha","Abrir a tela de login do site da Petz e clicar na opção ""Esqueci a senha""","Clicar na opção de ""Esqueci a senha"" e digitar um CPF ou CNPJ válido e cadastrado","Abre um pop up com o campo para preencher com o CPF ou o CNPJ e, ao digitar corretamente, o botão ""Continuar"" fica habilitado, há a possibilidade de receber um código pelo numero de celular cadastrado","Abre um pop up com o campo para preencher com o CPF ou o CNPJ e, ao digitar corretamente, o botão ""Continuar"" fica habilitado, há a possibilidade de receber um código pelo numero de celular cadastrado",Aprovado
10,Deve ser possível acessar a contra através de um código de acesso rápido digitando CPF ou CNPJ cadastrado,"Abrir a tela de login do site da Petz e clicar na opção ""Receber código de acesso rápido""","Clicar na opção de ""Receber código de acesso rápido"" e digitar um CPF ou CNPJ válido e cadastrado","Abre um pop up com o campo para preencher com o CPF ou o CNPJ e, ao digitar corretamente, o botão ""Continuar"" fica habilitado, há a possibilidade de receber um código pelo numero de celular cadastrado","Abre um pop up com o campo para preencher com o CPF ou o CNPJ e, ao digitar corretamente, o botão ""Continuar"" fica habilitado, há a possibilidade de receber um código pelo numero de celular cadastrado",Aprovado
